model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std,top1_score_mean,top1_score_std
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,10,10,0.6100000000000001,0.2601281735350222,1.2,0.4216370213557839,0.6744641542434693,0.0005754867882744
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,10,10,0.48,0.1988857852023506,2.5,2.41522945769824,0.6215965807437897,0.0157485774809876
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,10,10,0.54,0.2796823595120404,2.3,1.4944341180973264,0.6091649949550628,0.0184730471760398
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,10,10,0.54,0.1955050439815357,1.0,0.0,0.6285901069641113,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,10,10,0.5599999999999999,0.2270584848790187,2.0,1.4907119849998598,0.5254356324672699,0.0131895492772752
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,10,10,0.65,0.291547594742265,1.5,0.8498365855987975,0.5987581431865692,0.0233833430498216
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,10,0.77,0.1567021236472421,1.0,0.0,0.2713421612977981,9.424321828959471e-09
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,10,10,0.55,0.1178511301977579,1.0,0.0,0.259065181016922,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,10,10,0.5900000000000001,0.1595131481867386,1.0,0.0,0.5773614645004272,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,10,10,0.54,0.1897366596101027,2.2,2.201009869229224,0.5266186118125915,0.0276944820110252
sentence-transformers/all-MiniLM-L6-v2,1500,150,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,10,10,0.62,0.1988857852023506,2.6,1.7126976771553506,0.5550031065940857,0.010522688035115
sentence-transformers/all-MiniLM-L6-v2,1500,150,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,10,10,0.7,0.149071198499986,1.5,0.7071067811865475,0.2395044922828674,0.0113563780251263
sentence-transformers/all-MiniLM-L6-v2,1500,150,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,10,10,0.52,0.3675746333890725,4.0,4.830458915396479,0.2896158546209335,0.0310959128513835
sentence-transformers/all-MiniLM-L6-v2,1500,150,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,10,10,0.7,0.1885618083164127,1.7,0.9486832980505138,0.2651612162590027,0.0056323606479742
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_core,neutron,baseline,en,10,10,0.48,0.3155242550986462,3.3,2.4060109910158114,0.669769561290741,0.018338879149434
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,10,10,0.8,0.1563471919941143,2.1,0.9944289260117534,0.7461436033248902,0.027897552257232
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,10,0.86,0.2270584848790186,1.7,1.1595018087284057,0.7725749611854553,0.0022501641660172
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_phrase,中子测量电流,baseline,zh,10,10,0.61,0.1852925614624973,2.2,1.3984117975602022,0.641586697101593,0.0146747727695513
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,10,10,0.54,0.2011080417199781,1.7,0.4830458915396479,0.6592652559280395,0.0084169512523554
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,10,10,0.76,0.1837873166945363,1.0,0.0,0.6858959197998047,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,10,10,0.76,0.2170509412813294,1.2,0.4216370213557839,0.6759740114212036,0.0037585452037372
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,10,10,0.54,0.3025814858109391,3.7,3.198958163736021,0.6254328310489654,0.0225141888594861
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,10,10,0.5599999999999999,0.2590581230363393,2.7,1.4181364924121764,0.6042537271976471,0.0330085936818523
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,10,10,0.41,0.1911950719959998,3.1,1.5238839267549946,0.6143221020698547,0.0200273049775888
