model,query_id,query,family,language,extra_docs,n_trials,pool_docs,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,35,10,48.0,0.6425974607467652,0.00040573374650340545,0.6194912672042847,0.005288172513532379,0.19,0.0875595035770913,6.1,1.5951314818673865
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,40,10,53.0,0.6425974607467652,0.00040573374650340144,0.6210897207260132,0.006216072008804533,0.14,0.08432740427115677,6.7,1.494434118097326
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,45,10,58.0,0.6425134658813476,0.00043374761990511976,0.6231797516345978,0.0020346191926302985,0.12000000000000002,0.04216370213557839,7.2,0.6324555320336758
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,50,10,63.0,0.6428494453430176,0.0,0.6264061331748962,0.0,0.1,0.0,8.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,51,10,64.0,0.6428494453430176,0.0,0.6264061331748962,0.0,0.1,0.0,8.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,0,1,13.0,0.5960785150527954,,0.5661399960517883,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,5,10,18.0,0.6612284779548645,0.0503839513846792,0.5993753015995026,0.01942222048726953,0.41000000000000003,0.26012817353502227,4.7,3.0568684048294332
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,10,10,23.0,0.6791974306106567,0.04145957639411886,0.608119809627533,0.01919872990827628,0.27,0.15670212364724212,5.9,3.3813212407775355
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,15,10,28.0,0.6657144725322723,0.04573165084000169,0.6137406826019287,0.020427162171793356,0.16,0.1505545305418162,7.3,4.056544780420347
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,20,10,33.0,0.687400621175766,0.04168076863513716,0.62090904712677,0.008300930752120376,0.1,0.047140452079103175,8.2,1.9321835661585915
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,25,10,38.0,0.6669433891773224,0.04499583793265614,0.6220212996006012,0.015099528160357223,0.08,0.10327955589886444,9.2,3.0840089349921005
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,30,10,43.0,0.7001823782920837,0.034640925705720374,0.6346948921680451,0.00717992499693201,0.01,0.03162277660168379,10.7,0.9486832980505137
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,35,10,48.0,0.7128145098686218,0.027880059149349972,0.6394317626953125,0.012210537726286521,0.02,0.0421637021355784,10.3,1.4944341180973268
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,40,10,53.0,0.7254466414451599,0.0,0.6464346468448638,0.0037728494441731817,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,45,10,58.0,0.716315507888794,0.019250119771539967,0.6459885537624359,0.006786756486986515,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,50,10,63.0,0.7254466414451599,0.0,0.6511529088020325,0.0,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,51,10,64.0,0.7254466414451599,0.0,0.6511529088020325,0.0,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,0,1,13.0,0.5996183156967163,,0.5600287318229675,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,5,10,18.0,0.6161478459835052,0.020437868821731826,0.5763914823532105,0.01706800712170739,0.62,0.3359894178227774,2.1,1.449137674618944
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,10,10,23.0,0.6240429282188416,0.021081247424803294,0.5846800327301025,0.012631165245671044,0.37,0.26267851073127396,2.4,1.2649110640673518
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,15,10,28.0,0.6232353925704956,0.019229481212726017,0.5873240649700164,0.013100759471785397,0.33999999999999997,0.19550504398153573,3.4,1.837873166945363
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,20,10,33.0,0.635091245174408,0.013815191624348407,0.5989251911640168,0.009909423591698892,0.16999999999999998,0.06749485577105528,4.2,1.9888578520235063
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,25,10,38.0,0.638972282409668,0.012677215423893773,0.6028270781040191,0.011622729733805908,0.17,0.12516655570345725,5.2,2.1499353995462798
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,30,10,43.0,0.6404712200164795,0.014712108376978244,0.6057960033416748,0.009463280815301458,0.14,0.051639777949432225,5.7,2.2135943621178655
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,35,10,48.0,0.6428111374378205,0.009982823699605504,0.6100351512432098,0.007545304420579901,0.11000000000000001,0.0316227766016838,6.9,1.9692073983655904
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,40,10,53.0,0.6451828241348266,0.0032709182264505543,0.6112031817436219,0.0058909574801043205,0.1,0.0,7.3,1.7029386365926402
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,45,10,58.0,0.6436290860176086,0.009819728677506441,0.6137295484542846,0.005692253702367166,0.1,0.0,7.9,1.3703203194062976
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,50,10,63.0,0.646734356880188,0.0,0.6161933362483978,0.0009536094287687496,0.1,0.0,8.8,0.632455532033676
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,51,10,64.0,0.646734356880188,0.0,0.61649489402771,0.0,0.1,0.0,9.0,0.0
