model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,45,10,0.5963160812854766,0.016400261395844735,0.5465020000934601,0.007386713704208091,0.21000000000000002,0.031622776601683784,3.7,0.9486832980505138
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,50,10,0.6015022993087769,0.0,0.5495685636997223,0.00022477007566396983,0.2,0.0,4.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,51,10,0.6015022993087769,0.0,0.5496396422386169,0.0,0.2,0.0,4.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,0,1,0.30396410822868347,,0.2783125042915344,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,5,10,0.3191713482141495,0.024485982655456026,0.29499816000461576,0.021954998635527766,0.5599999999999999,0.340587727318528,3.7,4.347413023856832
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,10,10,0.3172819823026657,0.01672535081007789,0.2973666816949844,0.016797881362652922,0.41,0.2378141197564929,4.0,3.711842908553348
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,15,10,0.32554064989089965,0.018382601453123967,0.30458728671073915,0.01860258054438167,0.28,0.214993539954628,5.9,4.357624225296267
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,20,10,0.32672722935676574,0.024270549815312955,0.3064070284366608,0.022177166108453623,0.26,0.23190036174568116,5.5,4.766783215358364
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,25,10,0.3336405813694,0.019328364807693434,0.31304689347743986,0.017606474925189897,0.18,0.18135294011647257,7.3,4.164666186436128
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,30,10,0.3435972571372986,0.015163351258392568,0.3255572259426117,0.012498267262055714,0.05,0.097182531580755,10.0,2.494438257849294
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,35,10,0.35001165270805357,0.009788842033426403,0.3327605605125427,0.007227683476125677,0.01,0.0316227766016838,10.9,0.3162277660168379
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,40,10,0.3457601487636566,0.01882616299886085,0.3271966904401779,0.016996403867900016,0.06,0.12649110640673517,9.3,3.591656999213594
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,45,10,0.3523332804441452,0.007341631525069798,0.33360305726528167,0.005881295328827416,0.01,0.03162277660168379,10.9,0.316227766016838
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,50,10,0.3523332804441452,0.0073416315250698005,0.33370068967342376,0.00560557361728893,0.0,0.0,11.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,51,10,0.3546549081802368,0.0,0.3361872136592865,0.0,0.0,0.0,11.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,0,1,0.5460350513458252,,0.5181523561477661,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,5,10,0.5603220403194428,0.011295415172976433,0.5308437943458557,0.006862711290833594,0.61,0.21317702607092645,1.9,0.737864787372622
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,10,10,0.5568305671215057,0.013287653391418923,0.5296839356422425,0.0068057624308450896,0.62,0.21499353995462797,1.6,0.6992058987801011
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,15,10,0.5622104287147522,0.011484696781939956,0.5358462333679199,0.00704289215718018,0.45999999999999996,0.1505545305418162,2.3,0.9486832980505138
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,20,10,0.5645500123500824,0.009912212433857114,0.5383150696754455,0.006411251633152932,0.42000000000000004,0.10327955589886444,3.0,1.3333333333333333
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,25,10,0.5727514445781707,0.008732552820298623,0.5447725057601929,0.004970313739904813,0.32,0.07888106377466157,3.8,1.2292725943057183
