model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,35,10,0.7692368149757385,0.018281023040562623,0.7164141476154328,0.00654907420230998,0.36,0.107496769977314,5.4,1.4298407059684812
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,40,10,0.7735725402832031,0.013710767280421999,0.7166643679141999,0.004732447219984494,0.37,0.09486832980505139,5.3,1.0593499054713804
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,45,10,0.7735725402832031,0.013710767280421981,0.7208121299743653,0.0064039813954218025,0.32999999999999996,0.09486832980505139,6.4,1.2649110640673518
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,50,10,0.7779082655906677,0.0,0.7236507654190063,0.0011732903706440979,0.3,0.0,6.9,0.31622776601683794
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,51,10,0.7779082655906677,0.0,0.7240217924118042,0.0,0.3,0.0,7.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,0,1,0.7712782621383667,,0.6908153295516968,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,10,0.7720399677753449,0.0017625638993381508,0.7056585013866424,0.03151842484159296,0.85,0.31710495984067416,1.8,1.7511900715418263
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,10,0.7725749611854553,0.0022501641660172132,0.7020190775394439,0.02154930934301698,0.86,0.22705848487901867,1.7,1.1595018087284057
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,15,10,0.7741799414157867,0.0026677371085259607,0.7148222625255585,0.028828866877251027,0.74,0.27968235951204046,3.1,2.601281735350223
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1500,150,baseline_zh_core,中子,baseline,zh,20,10,0.7731099545955658,0.002526619512797016,0.7102403819561005,0.03058731093148503,0.75,0.27588242262078083,2.5,2.5495097567963927
