model,query_id,query,family,language,extra_docs,n_trials,pool_docs,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,10,10,23.0,0.5370453774929047,0.01918973376276179,0.5079076319932938,0.012524265427654063,0.54,0.18973665961010278,2.1,1.66332999331662
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,15,10,28.0,0.5477736592292786,0.02178347538517278,0.5159397274255753,0.013780269971697507,0.44000000000000006,0.18973665961010278,3.2,2.0976176963403033
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,20,10,33.0,0.5464213788509369,0.022781893522216917,0.5162020206451416,0.013138666709372304,0.39,0.13703203194062977,3.0,2.0548046676563256
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,25,10,38.0,0.5499135315418243,0.01977032272481194,0.5207074046134949,0.009901337918698508,0.29,0.07378647873726218,3.6,1.9550504398153572
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,30,10,43.0,0.55906662940979,0.017225585562824133,0.5268868446350098,0.00904814270809858,0.24,0.051639777949432204,4.7,2.1628170930011112
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,35,10,48.0,0.5557309091091156,0.017580789645654873,0.5256453931331635,0.009226134716784176,0.27,0.0674948557710553,4.6,2.0110804171997807
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,40,10,53.0,0.5724095106124878,0.0,0.5352551102638244,0.0013252457079975261,0.2,0.0,6.8,0.42163702135578407
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,45,10,58.0,0.5724095106124878,0.0,0.5355422914028167,0.0008430565717026591,0.2,0.0,6.8,0.42163702135578424
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,50,10,63.0,0.5724095106124878,0.0,0.5359479188919067,0.0,0.2,0.0,7.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,51,10,64.0,0.5724095106124878,0.0,0.5359479188919067,0.0,0.2,0.0,7.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,0,1,13.0,0.24540871381759644,,0.1746310293674469,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,5,10,18.0,0.24625234603881835,0.0026677993265683195,0.18422832936048508,0.010553247685435072,0.74,0.1577621275493231,1.1,0.31622776601683794
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,10,10,23.0,0.2470959782600403,0.003557065768757758,0.19543425142765045,0.013939138613821329,0.5,0.17638342073763935,1.2,0.4216370213557839
sentence-transformers/all-MiniLM-L6-v2,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,15,10,28.0,0.24962687492370605,0.004446332210947191,0.20588545501232147,0.013321291284773664,0.38,0.18135294011647257,1.5,0.5270462766947299
